signature,purposes
GPL ICMP_INFO Destination Unreachable Communication with Destination Host is Administratively Prohibited,Network Info;Output Text;Pattern Matching;Read file;Scheduled Task;System Info
ET POLICY Java Url Lib User Agent,Unmapped
ET POLICY Java Url Lib User Agent Web Crawl,Unmapped
ET SCAN Internal Dummy Connection User-Agent Inbound,Network Info;Pattern Matching
ET ATTACK_RESPONSE Possible MS CMD Shell opened on local system,Remote Access;Scheduled Task;Script Execution;System Info
ET INFO External Host Probing for ChromeCast Devices,Output Text;Pattern Matching;System Info
ET POLICY libwww-perl User Agent,Unmapped
ET SCAN NMAP SIP Version Detect OPTIONS Scan,Network Info
ET POLICY curl User-Agent Outbound,File Transfer;Pattern Matching;Remote File Transfer
ET SCAN Polaris Botnet User-Agent (Inbound),Network Info;Pattern Matching
ET EXPLOIT Netlink GPON Remote Code Execution Attempt (Inbound),Scheduled Task
SURICATA STREAM CLOSEWAIT FIN out of window,Network Info;Read file;Scheduled Task
SURICATA STREAM TIMEWAIT ACK with wrong seq,Network Info;Read file;Scheduled Task
SURICATA STREAM TIMEWAIT invalid ack,Network Info;Pattern Matching;Read file;Scheduled Task
ET EXPLOIT Hikvision IP Camera RCE Attempt (CVE-2021-36260),Privilege Escalation;Remote Access;Scheduled Task
ET HUNTING curl User-Agent to Dotted Quad,File Transfer;Pattern Matching;Process Discovery;Remote File Transfer
ET EXPLOIT Possible Zimbra Autodiscover Servlet XXE (CVE-2019-9670),Script Execution
